,Province_State,Lat,Long_,date,confirmed,Population,deaths,Incidence_Rate,Mortality_Rate
173,West Virginia,2134.78395387,-4433.959998229999,1/24/20,0,1792147.0,0,0.0,
174,Wisconsin,3196.450331630001,-6465.454558629999,1/24/20,0,5822434.0,0,0.0,
175,Wyoming,990.9983666200001,-2464.5245707,1/24/20,0,578759.0,0,0.0,
176,US,,,1/24/20,2,339573798.0,0,0.0005889735933041571,0.0
177,Alabama,2203.24678369,-5809.578199250002,1/25/20,0,4903185.0,0,0.0,
178,Alaska,1747.1777653900003,-4293.070291,1/25/20,0,731545.0,0,0.0,
179,American Samoa,-14.270999999999999,-170.132,1/25/20,0,55641.0,0,0.0,
180,Arizona,505.13855463,-1671.9484819,1/25/20,0,7278717.0,0,0.0,
181,Arkansas,2618.39170427,-6932.548370129999,1/25/20,0,3017804.0,0,0.0,
182,California,2194.94977547,-7002.258461499999,1/25/20,0,39512223.0,0,0.0,
183,Colorado,2491.870365929999,-6751.119357399998,1/25/20,0,5758736.0,0,0.0,
184,Connecticut,332.90944112,-581.25463743,1/25/20,0,3565287.0,0,0.0,
185,Delaware,117.32783047000001,-226.59971236999996,1/25/20,0,973764.0,0,0.0,
187,District of Columbia,38.90417773,-77.01655992,1/25/20,0,705749.0,0,0.0,
188,Florida,1939.0305769000004,-5540.949841920001,1/25/20,0,21477737.0,0,0.0,
189,Georgia,5216.5566110300015,-13288.811358250005,1/25/20,0,10617423.0,0,0.0,
191,Guam,13.4443,144.7937,1/25/20,0,164229.0,0,0.0,
192,Hawaii,105.14141503,-786.6161824,1/25/20,0,1415872.0,0,0.0,
193,Idaho,1947.5896553700004,-5036.245496399999,1/25/20,0,1787065.0,0,0.0,
194,Illinois,4064.04900553,-9096.1896671,1/25/20,1,12671821.0,0,0.007891525614195465,0.0
195,Indiana,3665.036491239999,-7932.1082973199955,1/25/20,0,6732219.0,0,0.0,
196,Iowa,4160.9610923300015,-9253.08642292,1/25/20,0,3155070.0,0,0.0,
197,Kansas,4040.9647841699993,-10298.87791087,1/25/20,0,2913314.0,0,0.0,
198,Kentucky,4514.657262000001,-10223.986874159998,1/25/20,0,4467673.0,0,0.0,
199,Louisiana,1989.9153525399995,-5876.747945990001,1/25/20,0,4648794.0,0,0.0,
200,Maine,715.0030145,-1112.38029805,1/25/20,0,1344212.0,0,0.0,
201,Maryland,936.35809657,-1840.2112226099998,1/25/20,0,6045680.0,0,0.0,
202,Massachusetts,630.9941489099999,-1071.27703141,1/25/20,0,6892503.0,0,0.0,
203,Michigan,3655.6204674499986,-7070.080729440003,1/25/20,0,9986857.0,0,0.0,
204,Minnesota,3963.0251292199996,-8215.492913339998,1/25/20,0,5639632.0,0,0.0,
205,Mississippi,2689.00357846,-7350.949515640001,1/25/20,0,2976149.0,0,0.0,
206,Missouri,4460.9847262700005,-10729.940478620003,1/25/20,0,6626371.0,0,0.0,
207,Montana,2630.5827033899996,-6143.222113400001,1/25/20,0,1068778.0,0,0.0,
208,Nebraska,3842.9269300899973,-9210.62813682,1/25/20,0,1934408.0,0,0.0,
209,Nevada,667.3519446600001,-1998.5878900999996,1/25/20,0,3080156.0,0,0.0,
210,New Hampshire,434.78972876,-715.77656705,1/25/20,0,1359711.0,0,0.0,
211,New Jersey,846.0152591300001,-1567.07144401,1/25/20,0,8882190.0,0,0.0,
212,New Mexico,1140.1288462999999,-3494.2745445,1/25/20,0,2096829.0,0,0.0,
213,New York,2637.7373826599996,-4679.39936508,1/25/20,0,26161672.0,0,0.0,
214,North Carolina,3562.420971000001,-7950.109873960003,1/25/20,0,10488084.0,0,0.0,
215,North Dakota,2511.8558565800004,-5313.217852090001,1/25/20,0,762062.0,0,0.0,
216,Northern Mariana Islands,15.0979,145.6739,1/25/20,0,55144.0,0,0.0,
217,Ohio,3547.3389435400018,-7289.51590458,1/25/20,0,11689100.0,0,0.0,
218,Oklahoma,2733.6474108,-7488.35776672,1/25/20,0,3956971.0,0,0.0,
219,Oregon,1601.7264242899996,-4373.1691055,1/25/20,0,4217737.0,0,0.0,
220,Pennsylvania,2734.8112497699994,-5200.22629518,1/25/20,0,12801989.0,0,0.0,
221,Puerto Rico,1422.70343,-5179.780198999999,1/25/20,0,3754939.0,0,0.0,
222,Rhode Island,208.27571053,-357.32052549,1/25/20,0,1059361.0,0,0.0,
223,South Carolina,1562.0437180300005,-3725.2363858399995,1/25/20,0,5148714.0,0,0.0,
224,South Dakota,2921.9978651999995,-6554.50198811,1/25/20,0,884659.0,0,0.0,
225,Tennessee,3409.0847101599993,-8180.328683919998,1/25/20,0,6829174.0,0,0.0,
226,Texas,8041.803434339999,-25057.879425249983,1/25/20,0,28995881.0,0,0.0,
227,Utah,1388.55098628,-3904.519943400001,1/25/20,0,3205958.0,0,0.0,
228,Vermont,618.2329411800001,-1017.58132988,1/25/20,0,623989.0,0,0.0,
229,Virgin Islands,18.3358,-64.8963,1/25/20,0,107268.0,0,0.0,
230,Virginia,4996.297993259999,-10442.323660759994,1/25/20,0,8535519.0,0,0.0,
231,Washington,1842.11767038,-4708.049596200001,1/25/20,1,7614893.0,0,0.013132160885254724,0.0
232,West Virginia,2134.78395387,-4433.959998229999,1/25/20,0,1792147.0,0,0.0,
233,Wisconsin,3196.450331630001,-6465.454558629999,1/25/20,0,5822434.0,0,0.0,
234,Wyoming,990.9983666200001,-2464.5245707,1/25/20,0,578759.0,0,0.0,
235,US,,,1/25/20,2,339573798.0,0,0.0005889735933041571,0.0
236,Alabama,2203.24678369,-5809.578199250002,1/26/20,0,4903185.0,0,0.0,
237,Alaska,1747.1777653900003,-4293.070291,1/26/20,0,731545.0,0,0.0,
238,American Samoa,-14.270999999999999,-170.132,1/26/20,0,55641.0,0,0.0,
239,Arizona,505.13855463,-1671.9484819,1/26/20,1,7278717.0,0,0.013738684990775159,0.0
240,Arkansas,2618.39170427,-6932.548370129999,1/26/20,0,3017804.0,0,0.0,
241,California,2194.94977547,-7002.258461499999,1/26/20,2,39512223.0,0,0.005061724823733659,0.0
242,Colorado,2491.870365929999,-6751.119357399998,1/26/20,0,5758736.0,0,0.0,
243,Connecticut,332.90944112,-581.25463743,1/26/20,0,3565287.0,0,0.0,
244,Delaware,117.32783047000001,-226.59971236999996,1/26/20,0,973764.0,0,0.0,
246,District of Columbia,38.90417773,-77.01655992,1/26/20,0,705749.0,0,0.0,
247,Florida,1939.0305769000004,-5540.949841920001,1/26/20,0,21477737.0,0,0.0,
248,Georgia,5216.5566110300015,-13288.811358250005,1/26/20,0,10617423.0,0,0.0,
250,Guam,13.4443,144.7937,1/26/20,0,164229.0,0,0.0,
251,Hawaii,105.14141503,-786.6161824,1/26/20,0,1415872.0,0,0.0,
252,Idaho,1947.5896553700004,-5036.245496399999,1/26/20,0,1787065.0,0,0.0,
253,Illinois,4064.04900553,-9096.1896671,1/26/20,1,12671821.0,0,0.007891525614195465,0.0
254,Indiana,3665.036491239999,-7932.1082973199955,1/26/20,0,6732219.0,0,0.0,
255,Iowa,4160.9610923300015,-9253.08642292,1/26/20,0,3155070.0,0,0.0,
256,Kansas,4040.9647841699993,-10298.87791087,1/26/20,0,2913314.0,0,0.0,
257,Kentucky,4514.657262000001,-10223.986874159998,1/26/20,0,4467673.0,0,0.0,
258,Louisiana,1989.9153525399995,-5876.747945990001,1/26/20,0,4648794.0,0,0.0,
259,Maine,715.0030145,-1112.38029805,1/26/20,0,1344212.0,0,0.0,
260,Maryland,936.35809657,-1840.2112226099998,1/26/20,0,6045680.0,0,0.0,
261,Massachusetts,630.9941489099999,-1071.27703141,1/26/20,0,6892503.0,0,0.0,
262,Michigan,3655.6204674499986,-7070.080729440003,1/26/20,0,9986857.0,0,0.0,
263,Minnesota,3963.0251292199996,-8215.492913339998,1/26/20,0,5639632.0,0,0.0,
264,Mississippi,2689.00357846,-7350.949515640001,1/26/20,0,2976149.0,0,0.0,
265,Missouri,4460.9847262700005,-10729.940478620003,1/26/20,0,6626371.0,0,0.0,
266,Montana,2630.5827033899996,-6143.222113400001,1/26/20,0,1068778.0,0,0.0,
267,Nebraska,3842.9269300899973,-9210.62813682,1/26/20,0,1934408.0,0,0.0,
268,Nevada,667.3519446600001,-1998.5878900999996,1/26/20,0,3080156.0,0,0.0,
269,New Hampshire,434.78972876,-715.77656705,1/26/20,0,1359711.0,0,0.0,
270,New Jersey,846.0152591300001,-1567.07144401,1/26/20,0,8882190.0,0,0.0,
271,New Mexico,1140.1288462999999,-3494.2745445,1/26/20,0,2096829.0,0,0.0,
272,New York,2637.7373826599996,-4679.39936508,1/26/20,0,26161672.0,0,0.0,
273,North Carolina,3562.420971000001,-7950.109873960003,1/26/20,0,10488084.0,0,0.0,
274,North Dakota,2511.8558565800004,-5313.217852090001,1/26/20,0,762062.0,0,0.0,
275,Northern Mariana Islands,15.0979,145.6739,1/26/20,0,55144.0,0,0.0,
276,Ohio,3547.3389435400018,-7289.51590458,1/26/20,0,11689100.0,0,0.0,
277,Oklahoma,2733.6474108,-7488.35776672,1/26/20,0,3956971.0,0,0.0,
278,Oregon,1601.7264242899996,-4373.1691055,1/26/20,0,4217737.0,0,0.0,
279,Pennsylvania,2734.8112497699994,-5200.22629518,1/26/20,0,12801989.0,0,0.0,
280,Puerto Rico,1422.70343,-5179.780198999999,1/26/20,0,3754939.0,0,0.0,
281,Rhode Island,208.27571053,-357.32052549,1/26/20,0,1059361.0,0,0.0,
282,South Carolina,1562.0437180300005,-3725.2363858399995,1/26/20,0,5148714.0,0,0.0,
283,South Dakota,2921.9978651999995,-6554.50198811,1/26/20,0,884659.0,0,0.0,
284,Tennessee,3409.0847101599993,-8180.328683919998,1/26/20,0,6829174.0,0,0.0,
285,Texas,8041.803434339999,-25057.879425249983,1/26/20,0,28995881.0,0,0.0,
286,Utah,1388.55098628,-3904.519943400001,1/26/20,0,3205958.0,0,0.0,
287,Vermont,618.2329411800001,-1017.58132988,1/26/20,0,623989.0,0,0.0,
288,Virgin Islands,18.3358,-64.8963,1/26/20,0,107268.0,0,0.0,
289,Virginia,4996.297993259999,-10442.323660759994,1/26/20,0,8535519.0,0,0.0,
290,Washington,1842.11767038,-4708.049596200001,1/26/20,1,7614893.0,0,0.013132160885254724,0.0
291,West Virginia,2134.78395387,-4433.959998229999,1/26/20,0,1792147.0,0,0.0,
292,Wisconsin,3196.450331630001,-6465.454558629999,1/26/20,0,5822434.0,0,0.0,
293,Wyoming,990.9983666200001,-2464.5245707,1/26/20,0,578759.0,0,0.0,
294,US,,,1/26/20,5,339573798.0,0,0.0014724339832603928,0.0
295,Alabama,2203.24678369,-5809.578199250002,1/27/20,0,4903185.0,0,0.0,
296,Alaska,1747.1777653900003,-4293.070291,1/27/20,0,731545.0,0,0.0,
297,American Samoa,-14.270999999999999,-170.132,1/27/20,0,55641.0,0,0.0,
298,Arizona,505.13855463,-1671.9484819,1/27/20,1,7278717.0,0,0.013738684990775159,0.0
299,Arkansas,2618.39170427,-6932.548370129999,1/27/20,0,3017804.0,0,0.0,
300,California,2194.94977547,-7002.258461499999,1/27/20,2,39512223.0,0,0.005061724823733659,0.0
301,Colorado,2491.870365929999,-6751.119357399998,1/27/20,0,5758736.0,0,0.0,
302,Connecticut,332.90944112,-581.25463743,1/27/20,0,3565287.0,0,0.0,
303,Delaware,117.32783047000001,-226.59971236999996,1/27/20,0,973764.0,0,0.0,
305,District of Columbia,38.90417773,-77.01655992,1/27/20,0,705749.0,0,0.0,
306,Florida,1939.0305769000004,-5540.949841920001,1/27/20,0,21477737.0,0,0.0,
307,Georgia,5216.5566110300015,-13288.811358250005,1/27/20,0,10617423.0,0,0.0,
309,Guam,13.4443,144.7937,1/27/20,0,164229.0,0,0.0,
310,Hawaii,105.14141503,-786.6161824,1/27/20,0,1415872.0,0,0.0,
311,Idaho,1947.5896553700004,-5036.245496399999,1/27/20,0,1787065.0,0,0.0,
312,Illinois,4064.04900553,-9096.1896671,1/27/20,1,12671821.0,0,0.007891525614195465,0.0
313,Indiana,3665.036491239999,-7932.1082973199955,1/27/20,0,6732219.0,0,0.0,
314,Iowa,4160.9610923300015,-9253.08642292,1/27/20,0,3155070.0,0,0.0,
315,Kansas,4040.9647841699993,-10298.87791087,1/27/20,0,2913314.0,0,0.0,
316,Kentucky,4514.657262000001,-10223.986874159998,1/27/20,0,4467673.0,0,0.0,
317,Louisiana,1989.9153525399995,-5876.747945990001,1/27/20,0,4648794.0,0,0.0,
318,Maine,715.0030145,-1112.38029805,1/27/20,0,1344212.0,0,0.0,
319,Maryland,936.35809657,-1840.2112226099998,1/27/20,0,6045680.0,0,0.0,
320,Massachusetts,630.9941489099999,-1071.27703141,1/27/20,0,6892503.0,0,0.0,
